Rank,Player,Team,Best,Worst,Avg,StdDev,ADP,pit,bat,RP,C,3B,2B,SS,1B,OF,SP
1,Ronald Acuna Jr.,ATL ,1,6,2.2,1.2,3.0,0.0,1.0,0,0,0,0,0,0,1,0
2,Trea Turner,PHI ,1,11,3.0,1.4,1.0,0.0,1.0,0,0,0,0,1,0,0,0
3,Aaron Judge,NYY ,1,8,3.0,1.8,2.0,0.0,1.0,0,0,0,0,0,0,1,0
4,Jose Ramirez,CLE ,1,18,4.0,1.7,4.0,0.0,1.0,0,0,1,0,0,0,0,0
5,Julio Rodriguez,SEA ,1,23,5.0,2.3,5.0,0.0,1.0,0,0,0,0,0,0,1,0
6,Kyle Tucker,HOU ,3,20,7.1,2.0,7.0,0.0,1.0,0,0,0,0,0,0,1,0
7,Juan Soto,SD ,1,20,8.9,3.1,6.0,0.0,1.0,0,0,0,0,0,0,1,0
8,Vladimir Guerrero Jr.,TOR ,2,17,9.2,2.4,11.0,0.0,1.0,0,0,0,0,0,1,0,0
9,Mookie Betts,LAD ,5,23,9.5,2.4,9.0,0.0,1.0,0,0,0,1,0,0,1,0
10,Shohei Ohtani,LAA ,1,28,9.9,6.1,8.0,1.0,1.0,0,0,0,0,0,0,0,1
11,Yordan Alvarez,HOU ,2,22,10.7,3.5,12.0,0.0,1.0,0,0,0,0,0,0,1,0
12,Freddie Freeman,LAD ,6,52,12.8,2.8,10.0,0.0,1.0,0,0,0,0,0,1,0,0
13,Corbin Burnes,MIL ,5,29,14.8,4.0,14.0,1.0,0.0,0,0,0,0,0,0,0,1
14,Mike Trout,LAA ,3,25,15.5,4.0,18.0,0.0,1.0,0,0,0,0,0,0,1,0
15,Manny Machado,SD ,8,30,15.5,2.7,13.0,0.0,1.0,0,0,1,0,0,0,0,0
16,Bo Bichette,TOR ,8,43,15.6,4.5,16.0,0.0,1.0,0,0,0,0,1,0,0,0
17,Gerrit Cole,NYY ,7,38,17.2,5.6,15.0,1.0,0.0,0,0,0,0,0,0,0,1
18,Rafael Devers,BOS ,4,32,19.1,3.4,23.0,0.0,1.0,0,0,1,0,0,0,0,0
19,Bobby Witt Jr.,KC ,7,50,19.8,6.3,17.0,0.0,1.0,0,0,1,0,1,0,0,0
20,Pete Alonso,NYM ,12,87,20.4,4.0,19.0,0.0,1.0,0,0,0,0,0,1,0,0
21,Fernando Tatis Jr.,SD ,8,68,21.5,5.3,20.0,0.0,1.0,0,0,0,0,1,0,1,0
22,Paul Goldschmidt,STL ,14,44,22.1,5.0,21.0,0.0,1.0,0,0,0,0,0,1,0,0
23,Austin Riley,ATL ,11,40,22.3,4.5,22.0,0.0,1.0,0,0,1,0,0,0,0,0
24,Aaron Nola,PHI ,16,55,28.6,6.1,25.0,1.0,0.0,0,0,0,0,0,0,0,1
25,Spencer Strider,ATL ,14,63,28.7,7.5,29.0,1.0,0.0,1,0,0,0,0,0,0,1
26,Sandy Alcantara,MIA ,12,60,29.6,9.5,24.0,1.0,0.0,0,0,0,0,0,0,0,1
27,Jacob deGrom,TEX ,9,81,31.3,11.6,28.0,1.0,0.0,0,0,0,0,0,0,0,1
28,Francisco Lindor,NYM ,17,71,31.3,8.1,30.0,0.0,1.0,0,0,0,0,1,0,0,0
29,Max Scherzer,NYM ,16,50,31.8,6.8,33.0,1.0,0.0,0,0,0,0,0,0,0,1
30,Justin Verlander,NYM ,14,53,32.5,6.5,32.0,1.0,0.0,0,0,0,0,0,0,0,1
31,Nolan Arenado,STL ,19,63,32.5,8.2,27.0,0.0,1.0,0,0,1,0,0,0,0,0
32,Michael Harris II,ATL ,13,96,33.3,7.6,31.0,0.0,1.0,0,0,0,0,0,0,1,0
33,Marcus Semien,TEX ,17,72,34.5,9.7,26.0,0.0,1.0,0,0,0,1,1,0,0,0
34,Shane McClanahan,TB ,17,65,34.8,6.6,34.0,1.0,0.0,0,0,0,0,0,0,0,1
35,Brandon Woodruff,MIL ,23,92,35.0,7.6,36.0,1.0,0.0,0,0,0,0,0,0,0,1
36,Randy Arozarena,TB ,18,65,35.6,7.6,37.0,0.0,1.0,0,0,0,0,0,0,1,0
37,Matt Olson,ATL ,20,55,36.2,5.2,35.0,0.0,1.0,0,0,0,0,0,1,0,0
38,Emmanuel Clase,CLE ,21,62,38.9,7.4,38.0,1.0,0.0,1,0,0,0,0,0,0,0
39,Luis Robert Jr.,CWS ,24,94,39.4,10.0,47.0,0.0,1.0,0,0,0,0,0,0,1,0
40,Corey Seager,TEX ,16,80,42.4,9.4,46.0,0.0,1.0,0,0,0,0,1,0,0,0
41,Kyle Schwarber,PHI ,21,68,42.9,9.4,40.0,0.0,1.0,0,0,0,0,0,0,1,0
42,Cedric Mullins II,BAL ,19,86,43.1,7.5,50.0,0.0,1.0,0,0,0,0,0,0,1,0
43,Jazz Chisholm Jr.,MIA ,25,72,43.2,9.1,41.0,0.0,1.0,0,0,0,1,0,0,0,0
44,Ozzie Albies,ATL ,21,103,47.0,12.3,43.0,0.0,1.0,0,0,0,1,0,0,0,0
45,Shane Bieber,CLE ,24,96,47.2,10.4,44.0,1.0,0.0,0,0,0,0,0,0,0,1
46,J.T. Realmuto,PHI ,27,94,47.8,11.1,39.0,0.0,1.0,0,1,0,0,0,0,0,0
47,Zack Wheeler,PHI ,22,100,47.9,9.6,48.0,1.0,0.0,0,0,0,0,0,0,0,1
48,Josh Hader,SD ,18,85,48.1,11.1,52.0,1.0,0.0,1,0,0,0,0,0,0,0
49,Dylan Cease,CWS ,29,105,52.6,14.1,42.0,1.0,0.0,0,0,0,0,0,0,0,1
50,Kevin Gausman,TOR ,28,86,53.7,9.6,58.0,1.0,0.0,0,0,0,0,0,0,0,1
51,Julio Urias,LAD ,32,124,55.6,13.0,45.0,1.0,0.0,0,0,0,0,0,0,0,1
52,Cristian Javier,HOU ,31,96,56.3,10.8,55.0,1.0,0.0,1,0,0,0,0,0,0,1
53,George Springer,TOR ,27,83,56.4,9.1,62.0,0.0,1.0,0,0,0,0,0,0,1,0
54,Devin Williams,MIL ,39,99,59.4,12.6,59.0,1.0,0.0,1,0,0,0,0,0,0,0
55,Adolis Garcia,TEX ,20,129,60.0,13.5,56.0,0.0,1.0,0,0,0,0,0,0,1,0
56,Jordan Romano,TOR ,26,122,60.3,12.2,61.0,1.0,0.0,1,0,0,0,0,0,0,0
57,Teoscar Hernandez,SEA ,31,102,61.8,12.2,63.0,0.0,1.0,0,0,0,0,0,0,1,0
58,Max Fried,ATL ,41,119,63.6,9.8,53.0,1.0,0.0,0,0,0,0,0,0,0,1
59,Yu Darvish,SD ,34,98,64.3,11.0,57.0,1.0,0.0,0,0,0,0,0,0,0,1
60,Alex Bregman,HOU ,23,123,64.6,15.2,60.0,0.0,1.0,0,0,1,0,0,0,0,0
61,Alek Manoah,TOR ,41,111,64.9,12.3,49.0,1.0,0.0,0,0,0,0,0,0,0,1
62,Luis Castillo,SEA ,35,98,54.8,9.9,328.0,1.0,0.0,0,0,0,0,0,0,0,1
63,Zac Gallen,ARI ,36,118,65.5,13.8,70.0,1.0,0.0,0,0,0,0,0,0,0,1
64,Eloy Jimenez,CWS ,38,102,67.7,12.1,67.0,0.0,1.0,0,0,0,0,0,0,1,0
65,Ryan Pressly,HOU ,39,115,68.2,13.0,65.0,1.0,0.0,1,0,0,0,0,0,0,0
66,Daulton Varsho,TOR ,35,112,69.2,15.7,51.0,0.0,1.0,0,1,0,0,0,0,1,0
67,Tim Anderson,CWS ,41,114,69.5,12.7,85.0,0.0,1.0,0,0,0,0,1,0,0,0
68,Corbin Carroll,ARI ,35,188,70.5,20.4,66.0,0.0,1.0,0,0,0,0,0,0,1,0
69,Starling Marte,NYM ,33,134,71.1,15.3,73.0,0.0,1.0,0,0,0,0,0,0,1,0
70,Framber Valdez,HOU ,37,138,72.2,15.8,64.0,1.0,0.0,0,0,0,0,0,0,0,1
71,Xander Bogaerts,SD ,38,115,74.0,11.1,72.0,0.0,1.0,0,0,0,0,1,0,0,0
72,Bryan Reynolds,PIT ,38,122,75.5,14.4,80.0,0.0,1.0,0,0,0,0,0,0,1,0
