Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Spencer Strider ,179.2,255,15,0,3.28,1.07,65,134,58,21,30,30,6,0,44282 ,ATL 
Gerrit Cole ,196.0,219,13,0,3.58,1.11,78,167,51,27,32,31,8,2,4656 d,NYY 
Kevin Gausman ,185.3,214,13,0,3.48,1.15,72,165,48,23,31,31,8,0,4671 d,TOR 
Zack Wheeler ,189.3,195,13,0,3.51,1.14,74,168,47,21,31,31,8,1,4603 d,PHI 
Luis Castillo ,189.0,202,13,0,3.55,1.16,75,163,58,23,31,31,9,0,3679 d,SEA 
George Kirby ,184.8,173,12,0,3.58,1.11,74,175,30,22,31,31,9,1,20405 ,SEA 
Pablo Lopez ,185.5,205,12,0,3.58,1.15,74,163,50,21,31,31,9,1,7289 d,MIN 
Logan Webb ,193.8,172,13,0,3.42,1.18,74,186,42,16,31,31,9,1,8146 d,SF 
Corbin Burnes ,188.5,201,12,0,3.57,1.16,75,160,58,20,31,31,8,0,7251 d,BAL 
Framber Valdez ,189.5,187,14,0,3.42,1.22,72,168,62,17,30,30,8,2,7627 d,HOU 
Aaron Nola ,188.4,199,12,0,3.83,1.13,80,172,41,26,31,31,9,1,5682 d,PHI 
Zac Gallen ,188.7,191,13,0,3.68,1.18,77,170,52,23,31,31,9,1,7245 d,ARI 
Yoshinobu Yamamoto ,171.1,175,13,0,3.74,1.12,71,148,43,22,28,28,7,3,48250 ,LAD 
Zach Eflin ,167.7,163,12,0,3.59,1.12,67,157,30,20,30,29,8,0,6146 d,TB 
Max Fried ,167.9,159,13,0,3.39,1.18,63,157,42,16,29,29,6,1,4729 d,ATL 
Tarik Skubal ,152.9,174,10,0,3.41,1.12,58,130,41,16,28,28,8,0,43633 ,DET 
Logan Gilbert ,185.3,181,12,0,3.82,1.16,79,171,45,26,31,31,9,0,7453 d,SEA 
Tyler Glasnow ,141.7,180,11,0,3.50,1.12,55,115,44,18,25,25,6,0,4587 d,LAD 
Freddy Peralta ,163.2,195,11,0,3.70,1.16,67,132,57,22,29,29,9,0,7274 d,MIL 
Joe Musgrove ,161.6,158,11,0,3.64,1.16,65,147,41,20,28,27,7,0,5883 d,SD 
Joe Ryan ,167.4,185,11,0,3.99,1.14,74,148,44,26,30,29,9,0,43688 ,MIN 
Blake Snell ,166.6,211,12,0,3.61,1.27,67,131,81,19,30,30,8,0,5835 d,SP) FA 
Jesus Luzardo ,168.2,192,10,0,3.82,1.22,71,148,57,22,30,29,9,0,6889 d,MIA 
Sonny Gray ,166.4,156,11,0,3.67,1.23,68,151,54,17,29,29,8,0,4755 d,STL 
Grayson Rodriguez ,161.3,174,10,0,3.77,1.21,68,142,54,19,30,29,8,0,7924 d,BAL 
Justin Steele ,172.1,165,11,0,3.69,1.25,70,163,52,18,30,30,8,0,8158 d,CHC 
Shane Bieber ,171.9,164,10,0,3.81,1.21,73,164,45,21,28,28,9,1,7178 d,CLE 
Chris Bassitt ,187.0,167,12,0,4.05,1.24,84,176,55,26,31,31,10,1,5554 d,TOR 
Bobby Miller ,148.7,146,11,0,3.86,1.19,64,134,43,18,27,27,7,0,43804 ,LAD 
Chris Sale ,132.4,157,10,0,3.81,1.17,56,116,39,18,25,25,6,0,3207 d,ATL 
Jordan Montgomery ,178.5,164,11,0,3.90,1.25,77,173,50,22,31,30,9,0,7062 d,SP) FA 
Carlos Rodon ,145.8,167,10,0,3.99,1.19,65,124,49,21,27,27,8,1,5674 d,NYY 
Tanner Bibee ,162.8,160,10,0,3.93,1.23,71,149,50,22,29,28,9,0,45056 ,CLE 
Michael King ,142.7,160,9,0,3.73,1.23,59,124,51,18,33,24,7,0,8489 d,SD 
Edwin Diaz ,61.3,94,3,33,2.83,1.03,19,42,21,6,61,0,2,0,5996 d,NYM 
Justin Verlander ,157.9,142,11,0,4.01,1.21,70,147,45,23,27,27,8,0,3623 d,HOU 
Jose Berrios ,176.0,165,11,0,4.14,1.24,81,170,49,25,31,30,10,0,5722 d,TOR 
Kodai Senga ,141.4,165,10,0,3.74,1.27,59,117,63,16,24,24,7,1,6917 d,NYM 
Yu Darvish ,157.2,156,10,0,4.12,1.20,72,144,44,23,27,26,9,0,3965 d,SD 
Bailey Ober ,151.3,148,9,0,4.08,1.18,69,143,35,24,28,28,8,0,44064 ,MIN 
Jhoan Duran ,64.8,86,4,30,2.84,1.12,20,50,23,5,64,0,3,0,8034 d,MIN 
Dylan Cease ,173.1,201,10,0,4.03,1.31,78,151,75,22,31,31,10,0,6848 d,CWS 
Eduardo Rodriguez ,165.3,158,11,0,3.93,1.29,72,159,54,19,29,29,9,0,3963 d,ARI 
Hunter Brown ,152.2,162,11,0,3.95,1.28,67,138,56,18,31,27,8,0,44176 ,HOU 
Eury Perez ,130.7,149,8,0,3.90,1.18,57,111,44,19,25,25,8,0,44610 ,MIA 
Merrill Kelly ,179.3,168,11,0,4.05,1.29,81,169,61,23,30,30,10,0,8374 d,ARI 
Devin Williams ,62.3,89,5,31,2.99,1.16,21,43,29,6,63,0,3,0,27766 ,MIL 
Emmanuel Clase ,66.9,67,4,34,3.02,1.11,22,58,16,5,67,0,3,0,27356 ,CLE 
Cole Ragans ,161.2,171,10,0,3.94,1.30,71,143,67,18,28,28,9,0,6834 d,KC 
Shota Imanaga ,143.0,142,9,0,3.94,1.22,63,135,40,21,26,26,7,2,6979 d,CHC 
Hunter Greene ,150.4,188,9,0,4.26,1.24,71,129,58,25,28,28,9,0,6871 d,CIN 
Nestor Cortes Jr. ,133.4,134,9,0,4.05,1.19,60,120,39,21,28,24,6,0,7375 d,NYY 
Braxton Garrett ,156.4,148,9,0,3.98,1.26,69,155,42,19,29,29,9,0,6815 d,MIA 
Kyle Bradish ,128.7,126,9,0,3.79,1.23,54,117,42,15,22,23,7,0,39964 ,BAL 
Mitch Keller ,183.1,177,11,0,4.18,1.31,85,178,62,21,31,31,10,0,6477 d,PIT 
Josh Hader ,60.0,86,3,33,3.14,1.13,21,42,26,7,62,0,2,0,5047 d,HOU 
Pete Fairbanks ,56.7,79,4,29,2.99,1.11,19,41,22,5,58,0,2,0,19909 ,TB 
Triston McKenzie ,144.2,144,8,0,4.10,1.21,66,128,47,22,25,25,8,0,39295 ,CLE 
Andres Munoz ,59.4,82,4,26,3.00,1.12,20,44,23,5,60,0,3,0,24281 ,SEA 
Cristian Javier ,158.9,168,10,0,4.34,1.25,77,137,63,26,29,29,8,0,10002 ,HOU 
