Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Spencer Strider ,179.3,255,15,0,3.28,1.07,65,134,58,21,30,30,6,0,44282 ,ATL 
Gerrit Cole ,196.1,219,14,0,3.55,1.11,77,166,51,27,32,31,8,2,4656 d,NYY 
Kevin Gausman ,185.2,213,13,0,3.48,1.15,72,165,48,23,31,31,8,0,4671 d,TOR 
Zack Wheeler ,189.0,195,13,0,3.51,1.14,74,168,47,21,31,31,8,1,4603 d,PHI 
George Kirby ,184.8,173,13,0,3.58,1.11,73,175,30,22,31,31,9,1,20405 ,SEA 
Luis Castillo ,189.1,202,13,0,3.55,1.16,75,163,57,23,31,31,9,0,3679 d,SEA 
Logan Webb ,194.1,172,13,0,3.42,1.18,74,186,42,16,31,31,9,1,8146 d,SF 
Pablo Lopez ,185.2,204,12,0,3.59,1.15,74,163,50,21,31,31,9,1,7289 d,MIN 
Corbin Burnes ,188.1,200,12,0,3.57,1.16,75,160,58,20,31,31,8,0,7251 d,BAL 
Framber Valdez ,189.7,188,14,0,3.42,1.22,72,168,62,17,30,30,8,2,7627 d,HOU 
Yoshinobu Yamamoto ,170.8,177,13,0,3.70,1.11,70,147,43,22,28,28,7,3,48250 ,LAD 
Aaron Nola ,188.5,198,12,0,3.83,1.13,80,172,41,26,31,31,9,1,5682 d,PHI 
Zac Gallen ,188.2,191,13,0,3.68,1.18,77,170,52,23,31,31,9,1,7245 d,ARI 
Zach Eflin ,167.7,162,12,0,3.59,1.12,67,157,30,20,30,29,8,0,6146 d,TB 
Max Fried ,167.4,159,13,0,3.39,1.18,63,156,42,16,29,29,6,1,4729 d,ATL 
Tarik Skubal ,153.2,175,10,0,3.41,1.12,58,130,41,16,28,28,8,0,43633 ,DET 
Logan Gilbert ,185.3,181,12,0,3.82,1.16,79,171,45,26,31,31,9,0,7453 d,SEA 
Tyler Glasnow ,142.0,181,11,0,3.50,1.12,55,115,44,18,25,25,6,0,4587 d,LAD 
Freddy Peralta ,163.2,195,11,0,3.70,1.15,67,132,57,22,29,29,9,0,7274 d,MIL 
Joe Musgrove ,160.9,158,11,0,3.65,1.16,65,146,41,20,28,27,8,0,5883 d,SD 
Joe Ryan ,167.5,185,11,0,3.99,1.14,74,148,44,26,30,30,9,0,43688 ,MIN 
Blake Snell ,162.7,206,11,0,3.61,1.27,65,128,79,18,29,29,8,0,5835 d,SP) FA 
Jesus Luzardo ,168.5,193,10,0,3.82,1.22,71,149,57,22,30,30,9,0,6889 d,MIA 
Shane Bieber ,173.1,165,10,0,3.78,1.21,73,164,45,21,28,28,9,1,7178 d,CLE 
Grayson Rodriguez ,162.0,174,10,0,3.76,1.21,68,142,54,19,30,30,8,0,7924 d,BAL 
Justin Steele ,172.2,165,11,0,3.69,1.25,71,163,52,18,30,30,8,0,8158 d,CHC 
Chris Sale ,137.2,163,10,0,3.80,1.17,58,120,40,19,26,26,6,0,3207 d,ATL 
Sonny Gray ,159.5,150,10,0,3.67,1.23,65,145,52,16,28,28,8,0,4755 d,STL 
Chris Bassitt ,187.2,167,12,0,4.05,1.24,84,176,55,26,31,31,10,1,5554 d,TOR 
Bobby Miller ,148.7,146,11,0,3.86,1.19,64,134,43,18,27,27,7,0,43804 ,LAD 
Jordan Montgomery ,174.9,160,11,0,3.89,1.25,76,169,49,21,30,30,9,0,7062 d,SP) FA 
Carlos Rodon ,145.7,167,10,0,3.99,1.19,65,124,49,21,27,27,8,1,5674 d,NYY 
