Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Spencer Strider ,179.2,256,15,0,3.28,1.07,65,134,58,20,30,30,6,0,44282 ,ATL 
Gerrit Cole ,196.1,220,14,0,3.55,1.11,77,166,51,27,32,32,8,2,4656 d,NYY 
Kevin Gausman ,185.5,214,13,0,3.48,1.15,72,165,48,23,31,31,8,0,4671 d,TOR 
Zack Wheeler ,189.4,195,13,0,3.51,1.14,74,168,47,21,31,31,8,1,4603 d,PHI 
George Kirby ,185.5,173,13,0,3.58,1.11,74,176,30,23,31,31,9,1,20405 ,SEA 
Luis Castillo ,189.4,202,13,0,3.55,1.16,75,163,58,23,31,31,9,0,3679 d,SEA 
Logan Webb ,194.2,172,13,0,3.41,1.18,74,186,42,16,31,31,9,1,8146 d,SF 
Pablo Lopez ,185.1,204,12,0,3.59,1.15,74,163,50,21,31,31,9,1,7289 d,MIN 
Corbin Burnes ,188.0,200,12,0,3.57,1.16,74,160,58,20,31,31,8,0,7251 d,BAL 
Framber Valdez ,190.2,188,14,0,3.42,1.22,72,169,62,17,30,30,8,2,7627 d,HOU 
Yoshinobu Yamamoto ,171.6,178,13,0,3.70,1.11,70,148,43,22,28,28,7,3,48250 ,LAD 
Aaron Nola ,189.0,199,12,0,3.83,1.13,80,173,41,26,31,31,9,1,5682 d,PHI 
Zac Gallen ,188.6,191,13,0,3.68,1.18,77,170,52,23,31,31,9,1,7245 d,ARI 
Max Fried ,168.4,160,14,0,3.40,1.18,64,157,42,17,29,29,6,1,4729 d,ATL 
Zach Eflin ,168.6,163,12,0,3.59,1.12,67,158,31,20,30,30,8,0,6146 d,TB 
Tarik Skubal ,153.6,175,10,0,3.41,1.12,58,131,41,16,28,28,8,0,43633 ,DET 
Logan Gilbert ,185.5,181,12,0,3.82,1.16,79,171,45,26,31,31,9,0,7453 d,SEA 
Tyler Glasnow ,142.6,181,11,0,3.50,1.12,55,115,44,19,25,25,6,0,4587 d,LAD 
Freddy Peralta ,163.5,195,11,0,3.70,1.15,67,132,57,22,29,29,9,0,7274 d,MIL 
Joe Ryan ,168.4,186,11,0,3.99,1.14,75,148,44,26,30,30,9,0,43688 ,MIN 
Joe Musgrove ,162.0,159,11,0,3.65,1.17,66,147,41,20,28,27,8,0,5883 d,SD 
Blake Snell ,164.3,208,11,0,3.61,1.27,66,129,79,18,29,29,9,0,5835 d,SP) FA 
Jesus Luzardo ,168.7,193,10,0,3.81,1.22,71,149,57,22,30,30,9,0,6889 d,MIA 
Grayson Rodriguez ,163.5,176,10,0,3.76,1.21,68,143,54,19,30,30,8,0,7924 d,BAL 
Shane Bieber ,173.8,166,10,0,3.78,1.21,73,165,45,21,28,28,9,1,7178 d,CLE 
Justin Steele ,172.6,166,11,0,3.69,1.25,71,163,52,18,30,30,8,0,8158 d,CHC 
Chris Sale ,139.2,165,10,0,3.80,1.17,59,121,41,19,26,26,6,0,3207 d,ATL 
Chris Bassitt ,188.3,168,12,0,4.05,1.24,85,177,56,26,31,31,10,1,5554 d,TOR 
Sonny Gray ,158.9,149,10,0,3.67,1.23,65,145,52,16,28,28,8,0,4755 d,STL 
Bobby Miller ,148.7,146,11,0,3.86,1.19,64,134,43,18,27,27,7,0,43804 ,LAD 
Jordan Montgomery ,176.3,162,11,0,3.89,1.25,76,171,49,22,30,30,9,0,7062 d,SP) FA 
Carlos Rodon ,147.1,169,10,0,3.99,1.19,65,125,50,21,27,27,8,1,5674 d,NYY 
Michael King ,145.4,163,9,0,3.72,1.23,60,127,52,18,33,25,8,0,8489 d,SD 
Edwin Diaz ,61.3,94,3,34,2.82,1.03,19,42,21,6,61,0,2,0,5996 d,NYM 
Tanner Bibee ,162.8,160,10,0,3.93,1.23,71,149,50,22,29,28,9,0,45056 ,CLE 
Yu Darvish ,158.9,158,10,0,4.12,1.20,73,146,44,23,27,27,9,0,3965 d,SD 
Jose Berrios ,176.7,165,11,0,4.15,1.24,81,170,49,25,31,31,10,0,5722 d,TOR 
Eury Perez ,140.9,160,8,0,3.90,1.19,61,120,47,20,27,27,8,0,44610 ,MIA 
Bailey Ober ,151.6,148,9,0,4.07,1.18,69,143,35,24,28,28,8,0,44064 ,MIN 
Jhoan Duran ,64.8,86,4,30,2.84,1.12,20,50,23,5,64,0,3,0,8034 d,MIN 
Merrill Kelly ,179.9,168,11,0,4.06,1.28,81,170,61,23,31,30,10,0,8374 d,ARI 
Devin Williams ,62.5,89,5,31,2.95,1.16,20,43,29,6,63,0,3,0,27766 ,MIL 
Eduardo Rodriguez ,166.0,159,11,0,3.93,1.29,72,160,54,19,29,29,9,0,3963 d,ARI 
Hunter Brown ,152.9,163,11,0,3.95,1.28,67,139,57,18,31,27,8,0,44176 ,HOU 
Dylan Cease ,173.0,201,10,0,4.04,1.31,78,151,75,22,31,31,10,0,6848 d,CWS 
Emmanuel Clase ,66.9,67,4,34,3.03,1.11,23,58,16,5,67,0,3,0,27356 ,CLE 
Shota Imanaga ,144.0,144,9,0,3.93,1.22,63,136,40,21,26,26,8,2,6979 d,CHC 
Cole Ragans ,162.6,172,10,0,3.94,1.30,71,144,67,18,28,28,10,0,6834 d,KC 
Justin Verlander ,147.9,133,10,0,4.01,1.22,66,138,42,21,25,25,7,0,3623 d,HOU 
Hunter Greene ,151.0,189,9,0,4.25,1.24,71,129,58,25,28,28,9,0,6871 d,CIN 
Nestor Cortes Jr. ,135.1,136,9,0,4.05,1.19,61,122,40,21,28,24,6,0,7375 d,NYY 
Josh Hader ,60.2,87,3,33,3.16,1.13,21,42,26,7,62,0,2,0,5047 d,HOU 
Pete Fairbanks ,57.0,80,4,29,2.99,1.11,19,41,22,5,59,0,2,0,19909 ,TB 
Andres Munoz ,60.2,82,4,27,2.99,1.12,20,45,23,5,60,0,3,0,24281 ,SEA 
Mitch Keller ,183.4,177,11,0,4.18,1.31,85,178,62,21,31,31,10,0,6477 d,PIT 
Triston McKenzie ,144.3,144,8,0,4.09,1.21,66,128,47,22,25,25,9,0,39295 ,CLE 
Raisel Iglesias ,63.6,76,4,31,3.38,1.12,24,55,16,8,63,0,3,0,5589 d,ATL 
Cristian Javier ,159.3,168,10,0,4.33,1.25,77,137,63,26,29,29,8,0,10002 ,HOU 
Nathan Eovaldi ,157.0,144,10,0,4.12,1.26,72,152,46,22,27,27,8,2,4423 d,TEX 
Bryce Miller ,145.2,132,9,0,4.17,1.21,67,139,37,21,27,27,8,0,45184 ,SEA 
Bryan Woo ,131.7,137,8,0,4.04,1.21,59,117,43,18,32,24,8,0,47011 ,SEA 
Camilo Doval ,65.8,80,4,34,3.35,1.23,24,53,28,5,66,0,3,0,43997 ,SF 
Walker Buehler ,127.2,118,9,0,3.98,1.21,56,119,35,17,22,22,6,1,7002 d,LAD 
Tanner Scott ,67.3,89,4,27,3.22,1.21,24,53,29,5,69,0,3,0,7328 d,MIA 
Evan Phillips ,64.4,73,4,29,3.42,1.14,25,54,20,8,62,0,3,0,7989 d,LAD 
Ryan Helsley ,61.3,80,4,27,3.22,1.16,22,45,26,7,61,0,3,0,7481 d,STL 
Nick Pivetta ,163.1,181,10,0,4.38,1.28,79,147,61,25,31,27,10,0,6590 d,BOS 
Marcus Stroman ,156.2,131,10,0,4.00,1.29,69,152,50,18,28,28,8,1,4796 d,NYY 
Aaron Civale ,139.9,131,8,0,4.08,1.22,63,132,38,19,26,26,8,0,21649 ,TB 
David Bednar ,64.5,76,3,31,3.36,1.16,24,54,21,7,63,0,3,0,8451 d,PIT 
Kodai Senga ,115.6,135,8,0,3.73,1.27,48,96,51,13,20,20,6,1,6917 d,NYM 
Charlie Morton ,152.5,166,11,0,4.16,1.33,71,139,65,19,27,27,7,0,3181 d,ATL 
Braxton Garrett ,141.6,134,8,0,3.98,1.26,63,140,38,18,27,26,8,0,6815 d,MIA 
Jordan Romano ,62.3,74,4,32,3.51,1.19,24,51,23,7,62,0,3,0,7647 d,TOR 
Reid Detmers ,161.6,173,9,0,4.27,1.29,77,148,61,23,29,29,9,0,43840 ,LAA 
Kenta Maeda ,137.4,140,8,0,4.23,1.23,65,128,41,20,31,26,9,0,5939 d,DET 
Griffin Canning ,143.9,151,9,0,4.24,1.27,68,135,47,23,26,26,8,0,7166 d,LAA 
Clay Holmes ,65.1,69,4,31,3.44,1.24,25,56,25,5,64,0,3,0,6584 d,NYY 
Yusei Kikuchi ,149.3,158,9,0,4.20,1.30,70,139,55,23,29,29,8,0,7015 d,TOR 
Gavin Williams ,140.5,142,8,0,4.09,1.28,64,124,56,19,26,27,8,0,44694 ,CLE 
Lance Lynn ,172.3,161,10,0,4.42,1.29,85,169,54,27,30,30,10,0,3661 d,STL 
Jose Alvarado ,65.9,89,3,22,3.18,1.24,23,51,31,6,66,0,3,0,6550 d,PHI 
Taj Bradley ,128.0,133,8,0,4.15,1.25,59,117,43,19,38,22,7,0,44442 ,TB 
Ryan Pepiot ,134.0,136,8,0,4.16,1.26,62,118,50,20,29,24,7,0,38313 ,TB 
Jon Gray ,155.9,151,9,0,4.30,1.29,74,148,53,22,28,28,9,1,4933 d,TEX 
Brandon Pfaadt ,144.6,137,8,0,4.33,1.24,70,142,37,23,27,27,9,0,44436 ,ARI 
Sean Manaea ,141.2,146,8,0,4.24,1.27,67,133,46,21,27,23,9,0,4944 d,NYM 
Adbert Alzolay ,63.9,69,3,28,3.67,1.16,26,57,18,8,57,0,3,0,7380 d,CHC 
Paul Sewald ,62.9,76,3,29,3.75,1.19,26,52,23,9,63,0,3,0,6147 d,ARI 
Dean Kremer ,164.7,142,10,0,4.30,1.31,79,164,52,24,30,30,9,0,7918 d,BAL 
Alexis Diaz ,67.1,82,4,31,3.94,1.26,29,52,33,8,67,0,4,0,45001 ,CIN 
JP Sears ,163.0,149,8,0,4.37,1.27,79,155,51,26,29,29,11,0,7334 d,OAK 
Craig Kimbrel ,65.5,82,4,25,3.83,1.22,28,52,28,8,66,0,4,0,3238 d,BAL 
Max Scherzer ,91.1,101,6,0,3.94,1.15,40,81,24,15,16,16,5,0,3744 d,TEX 
Nick Lodolo ,119.7,141,6,0,4.12,1.25,55,109,41,17,29,22,6,0,6953 d,CIN 
Mason Miller ,61.6,80,3,15,3.35,1.14,23,46,25,7,59,1,3,0,45221 ,OAK 
Kyle Harrison ,136.8,153,7,0,4.15,1.31,63,119,61,18,27,27,7,0,43921 ,SF 
Steven Matz ,119.3,113,8,0,4.03,1.28,53,117,36,15,30,21,7,0,5344 d,STL 
Garrett Whitlock ,106.5,105,6,1,3.96,1.22,47,105,25,14,43,12,5,0,7916 d,BOS 
Ranger Suarez ,150.1,131,9,0,4.04,1.35,67,147,56,17,27,27,8,0,7247 d,PHI 
Kyle Bradish ,95.4,94,7,0,3.80,1.23,40,87,31,11,17,17,5,0,39964 ,BAL 
Shane Baz ,93.2,101,6,0,3.86,1.20,40,82,30,12,23,18,5,0,7158 d,TB 
Louie Varland ,125.0,121,7,0,4.17,1.26,58,121,36,17,33,20,7,0,44936 ,MIN 
Logan Allen ,138.0,131,8,0,4.16,1.31,64,132,50,19,26,26,8,0,43900 ,CLE 
Cristopher Sanchez ,134.1,118,8,0,4.16,1.29,62,131,43,17,31,23,7,0,39312 ,PHI 
Brayan Bello ,167.0,145,11,0,4.27,1.37,79,173,56,20,30,30,10,0,44932 ,BOS 
DL Hall ,103.7,127,6,0,3.82,1.30,44,87,48,13,38,16,5,0,6845 d,MIL 
Miles Mikolas ,181.1,126,10,0,4.49,1.29,90,194,41,27,31,31,11,0,5408 d,STL 
Kenley Jansen ,60.5,71,3,31,4.05,1.24,27,52,24,8,62,0,3,0,3630 d,BOS 
Jordan Hicks ,113.1,126,7,0,3.84,1.35,48,97,56,10,34,20,7,0,6897 d,SF 
A.J. Puk ,88.2,104,5,3,3.86,1.23,38,79,29,12,48,8,6,0,5007 d,MIA 
MacKenzie Gore ,141.8,151,8,0,4.28,1.34,67,130,59,21,27,27,9,0,7146 d,WSH 
Edward Cabrera ,127.1,137,8,0,4.16,1.35,59,109,63,15,25,25,8,0,39222 ,MIA 
Kutter Crawford ,138.6,135,8,0,4.50,1.28,69,134,44,22,31,26,8,1,9957 d,BOS 
Ryan Pressly ,64.6,73,4,4,3.44,1.14,25,56,18,7,64,0,3,0,5361 d,HOU 
Matt Strahm ,69.3,80,4,2,3.65,1.13,28,59,20,9,66,0,4,0,5901 d,PHI 
Robert Stephenson ,59.4,78,3,11,3.70,1.13,24,48,19,9,61,0,3,0,4734 d,LAA 
John Means ,117.5,91,7,0,4.30,1.22,56,116,28,20,26,21,7,0,8079 d,BAL 
Andrew Heaney ,133.9,140,8,0,4.44,1.31,66,127,48,23,30,25,8,0,4678 d,TEX 
Patrick Sandoval ,154.3,145,9,0,4.14,1.40,71,149,67,18,28,28,9,0,8031 d,LAA 
Jameson Taillon ,148.0,127,8,0,4.51,1.28,74,149,39,24,27,27,9,0,4657 d,CHC 
A.J. Minter ,62.2,77,4,4,3.47,1.16,24,52,20,7,65,0,3,0,7030 d,ATL 
Clarke Schmidt ,139.5,128,8,0,4.37,1.31,68,137,45,20,27,27,8,0,7264 d,NYY 
Bryan Abreu ,64.9,89,3,2,3.23,1.20,23,48,30,6,63,0,2,0,8384 d,HOU 
Zack Littell ,138.8,113,8,0,4.41,1.28,68,141,36,22,34,24,7,0,6563 d,TB 
Andrew Abbott ,125.9,137,7,0,4.33,1.31,61,116,48,21,24,24,8,0,44726 ,CIN 
Chris Paddack ,115.0,104,7,0,4.31,1.25,55,116,28,16,27,21,7,0,6426 d,MIN 
Jason Adam ,58.5,71,3,7,3.48,1.12,23,45,21,7,59,0,3,0,7309 d,TB 
Frankie Montas ,135.3,133,8,0,4.44,1.31,67,133,44,21,24,24,8,0,5619 d,CIN 
Emmet Sheehan ,105.6,118,7,0,4.30,1.28,50,90,45,16,34,17,5,0,45411 ,LAD 
Brady Singer ,161.7,138,9,0,4.43,1.34,80,168,49,20,28,28,10,1,6811 d,KC 
Seth Lugo ,149.5,128,8,0,4.35,1.33,72,154,45,20,27,27,9,0,5890 d,KC 
Hunter Harvey ,60.1,67,3,13,3.74,1.17,25,53,18,8,60,0,3,0,4953 d,WSH 
James Paxton ,105.3,110,8,0,4.31,1.30,50,100,37,17,25,19,6,0,4559 d,LAD 
Brusdar Graterol ,63.7,53,4,7,3.41,1.18,24,59,16,5,63,0,3,0,31521 ,LAD 
Dane Dunning ,156.6,133,10,0,4.39,1.37,76,159,55,21,30,27,9,0,6619 d,TEX 
Reynaldo Lopez ,83.8,93,5,1,3.90,1.25,36,74,31,11,50,8,4,0,6012 d,ATL 
Tyler Wells ,99.3,92,6,0,4.32,1.21,48,90,30,17,42,13,5,0,44081 ,BAL 
Tanner Houck ,135.2,128,8,0,4.31,1.35,65,132,50,16,33,25,8,1,6987 d,BOS 
Alex Cobb ,101.5,90,6,0,3.86,1.31,44,103,30,10,19,19,5,1,3034 d,SF 
Aroldis Chapman ,60.0,91,3,5,3.29,1.27,22,41,35,6,61,0,3,0,3068 d,PIT 
Trevor Rogers ,109.8,110,6,0,4.16,1.30,51,105,38,13,25,21,7,0,6995 d,MIA 
Robert Suarez ,63.0,65,3,19,3.98,1.24,28,54,25,8,62,0,4,0,45030 ,SD 
Keaton Winn ,116.6,100,6,0,4.16,1.29,54,116,35,13,28,20,7,0,46495 ,SF 
Kyle Gibson ,175.0,139,10,0,4.46,1.37,87,182,58,23,31,30,10,0,3655 d,STL 
Jose Quintana ,154.0,129,9,0,4.30,1.38,74,158,55,18,28,28,9,0,4113 d,NYM 
Ross Stripling ,129.2,105,6,0,4.36,1.27,63,133,31,20,33,22,8,0,4931 d,OAK 
