Rank,Player,Team,Best,Worst,Avg,StdDev,ADP,pit,bat,RP,C,3B,2B,SS,1B,OF,SP
1,Ronald Acuna Jr.,ATL ,1,1,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0
2,Bobby Witt Jr.,KC ,2,8,2.5,0.8,4.0,0.0,1.0,0,0,0,0,1,0,0,0
3,Julio Rodriguez,SEA ,2,5,2.9,0.6,2.0,0.0,1.0,0,0,0,0,0,0,1,0
4,Mookie Betts,LAD ,2,10,4.8,1.0,3.0,0.0,1.0,0,0,0,1,1,0,1,0
5,Corbin Carroll,ARI ,2,22,5.6,2.0,5.0,0.0,1.0,0,0,0,0,0,0,1,0
6,Kyle Tucker,HOU ,4,9,6.4,0.8,7.0,0.0,1.0,0,0,0,0,0,0,1,0
7,Fernando Tatis Jr.,SD ,5,16,7.7,2.0,9.0,0.0,1.0,0,0,0,0,0,0,1,0
8,Freddie Freeman,LAD ,3,17,8.5,1.7,6.0,0.0,1.0,0,0,0,0,0,1,0,0
9,Juan Soto,NYY ,4,18,9.4,1.4,8.0,0.0,1.0,0,0,0,0,0,0,1,0
10,Spencer Strider,ATL ,4,29,10.1,3.1,10.0,1.0,0.0,0,0,0,0,0,0,0,1
11,Shohei Ohtani,LAD ,3,16,10.9,2.6,12.0,1.0,1.0,0,0,0,0,0,0,0,1
12,Aaron Judge,NYY ,3,49,11.9,2.9,11.0,0.0,1.0,0,0,0,0,0,0,1,0
13,Trea Turner,PHI ,6,29,13.7,4.2,13.0,0.0,1.0,0,0,0,0,1,0,0,0
14,Matt Olson,ATL ,7,18,14.5,1.6,14.0,0.0,1.0,0,0,0,0,0,1,0,0
15,Jose Ramirez,CLE ,11,22,14.8,2.3,15.0,0.0,1.0,0,0,1,0,0,0,0,0
16,Yordan Alvarez,HOU ,11,22,15.0,2.3,16.0,0.0,1.0,0,0,0,0,0,0,1,0
17,Bryce Harper,PHI ,10,26,17.6,2.6,17.0,0.0,1.0,0,0,0,0,0,1,0,0
18,Austin Riley,ATL ,12,20,18.2,1.3,18.0,0.0,1.0,0,0,1,0,0,0,0,0
19,Rafael Devers,BOS ,17,25,20.6,2.0,19.0,0.0,1.0,0,0,1,0,0,0,0,0
20,Corbin Burnes,BAL ,12,37,21.5,4.7,20.0,1.0,0.0,0,0,0,0,0,0,0,1
21,Ozzie Albies,ATL ,14,35,22.2,3.4,21.0,0.0,1.0,0,0,0,1,0,0,0,0
22,Francisco Lindor,NYM ,18,44,23.8,4.3,23.0,0.0,1.0,0,0,0,0,1,0,0,0
23,Pete Alonso,NYM ,15,43,24.4,3.4,22.0,0.0,1.0,0,0,0,0,0,1,0,0
24,Marcus Semien,TEX ,13,37,25.0,3.7,24.0,0.0,1.0,0,0,0,1,0,0,0,0
25,Zack Wheeler,PHI ,18,47,25.0,3.7,27.0,1.0,0.0,0,0,0,0,0,0,0,1
26,Vladimir Guerrero Jr.,TOR ,19,40,28.2,4.2,26.0,0.0,1.0,0,0,0,0,0,1,0,0
27,Corey Seager,TEX ,14,51,28.6,6.5,25.0,0.0,1.0,0,0,0,0,1,0,0,0
